Id,SalePrice
2414,226044.29024111386
1989,94987.14010432037
625,170749.39301696233
1327,98345.30972947879
858,145348.52779904008
1568,170640.6412835084
1364,125551.56112298672
2584,164472.91703338595
2673,178745.08338272595
2089,139201.40236568893
790,120413.91113027511
2616,195526.08542381483
720,198787.04743076325
222,126164.64047714905
557,108906.69478692976
2766,146341.6316075588
534,207611.99745863536
1452,114992.02376996749
630,121372.36633802461
2648,124604.30397494906
125,147529.71124433214
1904,37724.65295661846
1670,89488.16446818947
756,87943.03867404908
717,234467.01264577662
1032,136989.29454453872
852,223005.05888572335
1731,223449.14933711407
2639,115840.61862160405
2071,84665.70503498008
1267,107622.4873385576
1851,212747.34908857848
2439,248252.9372921083
1898,139420.0144552556
647,137452.87519004126
1444,243083.25430088
2485,118017.1530399574
157,111057.74523953907
88,122032.71821481129
2003,117981.71305601299
186,239134.95480250102
1425,259265.27907320694
2695,130056.24321048963
738,107423.36544310278
395,148936.7725115586
1353,203361.1313226095
1878,140027.78681815648
390,188201.89269314753
1456,247925.20392820146
1103,280989.00758015504
2070,128554.53229520982
1199,218564.89345359104
2479,201065.80803515157
501,282668.8720332321
2362,89488.16446818947
2188,37082.1796915459
2557,57013.093643361004
437,321070.60849741334
2224,180426.42599934828
1628,216107.0779947322
397,127141.34383749892
587,195498.98987567308
971,170295.39884877368
2611,157425.35631628498
1887,109029.54860578408
2399,293414.9073598508
2148,221304.59561587544
304,127914.35739290551
1997,125493.9630412755
2817,95215.7082120874
1431,209636.78710696264
427,288979.6793780937
263,115811.54195017787
598,170121.39137817663
2895,251164.7469191556
687,169348.82848110655
1822,118679.48604002828
2191,89069.321860509
179,147153.17489285325
2010,124736.24131137854
1991,167770.47994833998
1411,150189.73834458902
1144,211098.40901135933
593,259360.66780303302
575,248064.08865433815
1249,194474.22260952345
1604,125659.86219810415
1064,364524.8794821643
1923,157186.14540994703
1988,100191.89353860682
2325,194653.11522909347
114,212989.28019997315
343,179566.4492673683
386,273080.73104930134
2005,113103.13370463788
2908,152650.14058965212
1814,221482.01007189974
2446,439114.39688494476
822,291530.16336172144
6,204453.37157122
1781,332317.96281624725
2397,282956.14684536937
1618,194748.8734998058
2843,150546.9179208083
1061,331597.6621935789
2786,114992.02376996749
1935,114315.21914360975
1341,110264.21398481121
521,278001.24711599154
2136,128200.07292404748
996,206775.33974848315
227,152116.04951714724
135,154243.04186615557
294,233588.28480145708
1776,217924.2678929502
540,198849.87138628564
2303,117799.28003216325
116,174840.487186644
127,117436.10668431199
1371,144338.31327662757
1014,170127.51856866106
1507,119805.76922648796
750,169736.88013178133
261,178357.77081382368
1559,61684.12554602884
577,228877.53342879238
2812,240235.5394869144
2080,181614.5056361216
1368,133575.82520043757
2376,114684.51968194544
659,83520.75185363088
1235,121568.02894664975
1917,136151.8454512118
2094,260839.11199788703
1460,300199.99045018805
1471,196319.61667854246
1509,123555.02794686239
1922,118146.5035901824
433,380669.53544866503
1116,255714.03362562833
1137,173755.7711746127
